symbol,event_type,ex_date,record_date,pay_date,ratio,cash_amount
MMM,dividend,2007-05-16,,,,0.401338
MMM,dividend,2007-08-22,,,,0.401338
MMM,dividend,2007-11-20,,,,0.401338
MMM,dividend,2008-02-20,,,,0.41806
MMM,dividend,2008-05-21,,,,0.41806
MMM,dividend,2008-08-20,,,,0.41806
MMM,dividend,2008-11-19,,,,0.41806
MMM,dividend,2009-02-18,,,,0.426421
MMM,dividend,2009-05-20,,,,0.426421
MMM,dividend,2009-08-19,,,,0.426421
MMM,dividend,2009-11-18,,,,0.426421
MMM,dividend,2010-02-17,,,,0.438963
MMM,dividend,2010-05-19,,,,0.438963
MMM,dividend,2010-08-18,,,,0.438963
MMM,dividend,2010-11-17,,,,0.438963
MMM,dividend,2011-02-16,,,,0.459866
MMM,dividend,2011-05-18,,,,0.459866
MMM,dividend,2011-08-17,,,,0.459866
MMM,dividend,2011-11-22,,,,0.459866
MMM,dividend,2012-02-15,,,,0.493311
MMM,dividend,2012-05-16,,,,0.493311
MMM,dividend,2012-08-22,,,,0.493311
MMM,dividend,2012-11-20,,,,0.493311
MMM,dividend,2013-02-13,,,,0.530936
MMM,dividend,2013-05-22,,,,0.530936
MMM,dividend,2013-08-21,,,,0.530936
MMM,dividend,2013-11-20,,,,0.530936
MMM,dividend,2014-02-12,,,,0.714883
MMM,dividend,2014-05-21,,,,0.714883
MMM,dividend,2014-08-20,,,,0.714883
MMM,dividend,2014-11-19,,,,0.714883
MMM,dividend,2015-02-11,,,,0.857023
MMM,dividend,2015-05-20,,,,0.857023
MMM,dividend,2015-08-19,,,,0.857023
MMM,dividend,2015-11-18,,,,0.857023
MMM,dividend,2016-02-10,,,,0.928094
MMM,dividend,2016-05-18,,,,0.928094
MMM,dividend,2016-08-17,,,,0.928094
MMM,dividend,2016-11-16,,,,0.928094
MMM,dividend,2017-02-15,,,,0.982441
MMM,dividend,2017-05-17,,,,0.982441
MMM,dividend,2017-08-23,,,,0.982441
MMM,dividend,2017-11-22,,,,0.982441
MMM,dividend,2018-02-15,,,,1.137124
MMM,dividend,2018-05-17,,,,1.137124
MMM,dividend,2018-08-23,,,,1.137124
MMM,dividend,2018-11-21,,,,1.137124
MMM,dividend,2019-02-14,,,,1.204013
MMM,dividend,2019-05-23,,,,1.204013
MMM,dividend,2019-08-15,,,,1.204013
MMM,dividend,2019-11-21,,,,1.204013
MMM,dividend,2020-02-13,,,,1.229097
MMM,dividend,2020-05-21,,,,1.229097
MMM,dividend,2020-08-21,,,,1.229097
MMM,dividend,2020-11-19,,,,1.229097
MMM,dividend,2021-02-11,,,,1.237458
MMM,dividend,2021-05-20,,,,1.237458
MMM,dividend,2021-08-20,,,,1.237458
MMM,dividend,2021-11-18,,,,1.237458
MMM,dividend,2022-02-17,,,,1.245819
MMM,dividend,2022-05-19,,,,1.245819
MMM,dividend,2022-08-19,,,,1.245819
MMM,dividend,2022-11-17,,,,1.245819
MMM,dividend,2023-02-16,,,,1.254181
MMM,dividend,2023-05-18,,,,1.254181
MMM,dividend,2023-08-18,,,,1.254181
MMM,dividend,2023-11-16,,,,1.254181
MMM,dividend,2024-02-15,,,,1.262542
MMM,dividend,2024-05-23,,,,0.7
